location,continent,epoch,images_found,tile_images,error
Curitiba,South America,2014-2015,27,83839,
Curitiba,South America,2016-2017,692,83839,
Curitiba,South America,2018,313,83839,
Curitiba,South America,2019,80940,83839,
Curitiba,South America,2020,0,83839,
Curitiba,South America,2021,599,83839,
Curitiba,South America,2022,22,83839,
Curitiba,South America,2023,299,83839,
Curitiba,South America,2024,0,83839,
Curitiba,South America,2025,0,83839,
Curitiba,South America,2026,947,83839,
São Paulo,South America,2014-2015,2947,188206,
São Paulo,South America,2016-2017,4529,188206,
São Paulo,South America,2018,17791,188206,
São Paulo,South America,2019,41404,188206,
São Paulo,South America,2020,59759,188206,
São Paulo,South America,2021,57349,188206,
São Paulo,South America,2022,0,188206,
São Paulo,South America,2023,1716,188206,
São Paulo,South America,2024,162,188206,
São Paulo,South America,2025,2214,188206,
São Paulo,South America,2026,149,188206,
Buenos Aires,South America,2014-2015,705,44461,
Buenos Aires,South America,2016-2017,7986,44461,
Buenos Aires,South America,2018,278,44461,
Buenos Aires,South America,2019,725,44461,
Buenos Aires,South America,2020,60,44461,
Buenos Aires,South America,2021,0,44461,
Buenos Aires,South America,2022,770,44461,
Buenos Aires,South America,2023,1009,44461,
Buenos Aires,South America,2024,30390,44461,
Buenos Aires,South America,2025,2538,44461,
Buenos Aires,South America,2026,0,44461,
Bogotá,South America,2014-2015,117,101314,
Bogotá,South America,2016-2017,21245,101314,
Bogotá,South America,2018,367,101314,
Bogotá,South America,2019,458,101314,
Bogotá,South America,2020,0,101314,
Bogotá,South America,2021,34433,101314,
Bogotá,South America,2022,9128,101314,
Bogotá,South America,2023,2888,101314,
Bogotá,South America,2024,1346,101314,
Bogotá,South America,2025,10156,101314,
Bogotá,South America,2026,21176,101314,
Lima,South America,2014-2015,0,179707,
Lima,South America,2016-2017,15300,179707,
Lima,South America,2018,16,179707,
Lima,South America,2019,53435,179707,
Lima,South America,2020,0,179707,
Lima,South America,2021,0,179707,
Lima,South America,2022,43342,179707,
Lima,South America,2023,4710,179707,
Lima,South America,2024,59938,179707,
Lima,South America,2025,1649,179707,
Lima,South America,2026,1317,179707,
Mexico City,North America,2014-2015,2532,46962,
Mexico City,North America,2016-2017,6042,46962,
Mexico City,North America,2018,1181,46962,
Mexico City,North America,2019,101,46962,
Mexico City,North America,2020,30931,46962,
Mexico City,North America,2021,163,46962,
Mexico City,North America,2022,0,46962,
Mexico City,North America,2023,2312,46962,
Mexico City,North America,2024,1506,46962,
Mexico City,North America,2025,142,46962,
Mexico City,North America,2026,2052,46962,
San Francisco,North America,2014-2015,3668,130441,
San Francisco,North America,2016-2017,26908,130441,
San Francisco,North America,2018,10984,130441,
San Francisco,North America,2019,1159,130441,
San Francisco,North America,2020,10057,130441,
San Francisco,North America,2021,22647,130441,
San Francisco,North America,2022,21273,130441,
