location,continent,epoch,lon,lat,image_id,captured_at,is_pano,width,height,n_detections,n_classes,n_surface,n_marking,n_object,n_traffic_sign,n_other,has_surface,detections_created_min,detections_created_max,decode_failures,sky_above_road,top_classes,error
Curitiba,South America,2014-2015,-49.2733,-25.4284,451776692793452,2015-03-13,False,,,0,0,0,0,0,0,0,False,,,0,,,
Curitiba,South America,2014-2015,-49.2733,-25.4284,107873631356534,2015-03-13,False,,,2,2,0,0,1,1,0,False,2021-05-19,2021-05-22,0,,information--parking--g3;object--support--pole,
Curitiba,South America,2014-2015,-49.2733,-25.4284,942813416460076,2015-03-13,False,,,5,5,0,1,4,0,0,False,2021-05-22,2021-05-22,0,,object--street-light;object--traffic-light--general-upright;object--support--utility-pole;object--support--pole;marking--discrete--crosswalk-zebra,
Curitiba,South America,2016-2017,-49.2733,-25.4284,458495972047449,2016-11-22,False,,,8,5,0,0,6,2,0,False,2021-05-19,2021-05-22,0,,object--support--utility-pole;information--parking--g3;object--traffic-light--general-upright;object--sign--advertisement;object--street-light,
Curitiba,South America,2016-2017,-49.2733,-25.4284,219959939547679,2017-07-21,False,,,7,4,0,1,3,3,0,False,2021-05-19,2021-05-22,0,,object--support--utility-pole;regulatory--no-parking--g5;regulatory--turn-left--g3;marking--discrete--crosswalk-zebra,
Curitiba,South America,2016-2017,-49.2733,-25.4284,800775640874392,2016-06-01,False,,,7,6,0,1,5,1,0,False,2021-05-22,2021-05-22,0,,object--support--pole;object--traffic-light--general-upright;object--sign--advertisement;marking--discrete--crosswalk-zebra;object--traffic-light--pedestrians;information--parking--g3,
Curitiba,South America,2018,-49.2733,-25.4284,762354127803322,2018-09-02,False,,,1,1,0,0,1,0,0,False,2021-05-22,2021-05-22,0,,object--support--pole,
Curitiba,South America,2018,-49.2733,-25.4284,1322721664789482,2018-09-02,False,,,10,5,0,0,8,2,0,False,2021-05-20,2021-05-22,0,,object--support--utility-pole;information--general-directions--g1;object--trash-can;object--sign--advertisement;object--bike-rack,
Curitiba,South America,2018,-49.2733,-25.4284,170170838229736,2018-09-03,False,,,13,8,0,2,10,1,0,False,2021-05-20,2021-05-23,0,,object--street-light;object--support--pole;object--traffic-light--pedestrians;marking--discrete--crosswalk-zebra;information--general-directions--g1;object--sign--advertisement;object--sign--store;object--support--utility-pole,
Curitiba,South America,2019,-49.2733,-25.4284,300524128209791,2019-04-28,False,,,6,5,0,0,5,1,0,False,2021-05-20,2021-05-23,0,,object--support--utility-pole;regulatory--stop--g1;object--sign--store;object--sign--advertisement;object--street-light,
Curitiba,South America,2019,-49.2733,-25.4284,287750343076296,2019-04-26,False,,,9,7,0,2,6,1,0,False,2021-05-20,2021-05-22,0,,object--support--utility-pole;object--support--pole;regulatory--no-left-turn--g1;object--manhole;marking--discrete--crosswalk-zebra;object--traffic-light--general-upright;marking--discrete--arrow--straight,
Curitiba,South America,2019,-49.2733,-25.4284,512972006386959,2019-04-23,False,,,10,6,0,1,9,0,0,False,2021-05-22,2021-05-22,0,,object--traffic-light--general-upright;object--street-light;object--support--pole;object--traffic-light--pedestrians;marking--discrete--crosswalk-zebra;object--sign--advertisement,
Curitiba,South America,2021,-49.2733,-25.4284,1042292113294368,2021-06-17,False,,,392,32,329,15,47,1,0,True,2021-12-28,2021-12-28,0,True,void--unlabeled;construction--structure--building;nature--vegetation;construction--flat--sidewalk;object--support--pole;construction--flat--road;nature--sky;object--wire-group,
Curitiba,South America,2021,-49.2733,-25.4284,947211779242233,2021-06-17,False,,,541,35,440,16,82,3,0,True,2021-12-28,2021-12-28,0,True,void--unlabeled;construction--structure--building;construction--flat--road;nature--sky;construction--barrier--curb;object--wire-group;void--static;construction--flat--sidewalk,
Curitiba,South America,2021,-49.2733,-25.4284,1200220403747111,2021-04-21,False,,,238,23,205,0,31,2,0,True,2021-08-24,2021-08-24,0,True,void--unlabeled;nature--sky;construction--structure--building;nature--vegetation;construction--flat--road;nature--terrain;object--wire-group;construction--barrier--wall,
Curitiba,South America,2022,-49.2733,-25.4284,1072510856992097,2022-06-14,False,,,147,13,145,0,2,0,0,True,2022-06-15,2022-06-15,0,True,construction--flat--road;nature--sky;nature--vegetation;void--unlabeled;construction--flat--sidewalk;nature--terrain;void--ground;construction--flat--pedestrian-area,
Curitiba,South America,2022,-49.2733,-25.4284,3314599258771430,2022-06-14,False,,,111,10,110,0,1,0,0,True,2022-06-15,2022-06-15,0,True,construction--flat--road;void--unlabeled;nature--sky;construction--structure--building;nature--vegetation;construction--flat--sidewalk;void--ground;void--static,
Curitiba,South America,2022,-49.2733,-25.4284,565794791620456,2022-06-14,False,,,158,7,156,0,2,0,0,True,2022-06-15,2022-06-15,0,True,construction--flat--sidewalk;construction--flat--road;void--unlabeled;nature--vegetation;nature--sky;construction--structure--building;object--manhole,
Curitiba,South America,2023,-49.2733,-25.4284,1418555079038576,2023-09-30,False,,,487,35,399,4,79,5,0,True,2023-11-14,2023-11-14,0,True,void--unlabeled;construction--structure--building;nature--vegetation;object--wire-group;object--support--pole;construction--barrier--curb;nature--sky;object--traffic-sign--front,
